Expiry,Tenor,Alpha,Rho,Nu,Beta,Sigma
1Y,1Y,0.13906798222320035,-0.633234852167449,2.0495223240388474,2.8435945706603863e-07,0.225
1Y,2Y,0.18464440390473164,-0.5251185440597519,1.6774423531510663,7.768591909045954e-08,0.2872
1Y,3Y,0.19684876617324548,-0.48284249075179103,1.438154279398014,1.9103407534895936e-07,0.2978
1Y,5Y,0.1780519510357461,-0.41441895975673737,1.0648893756799425,6.677848561407844e-07,0.2607
1Y,10Y,0.17106878579428558,-0.2645522333549466,0.7780228512101771,1.4684931292361422e-07,0.2447
5Y,1Y,0.16643857351790706,-0.5846533029870672,1.3388322754134296,2.1616283694091132e-07,0.2726
5Y,2Y,0.19841815931204626,-0.5420495167776794,1.0585974974372607,3.172463728942984e-10,0.2983
5Y,3Y,0.2083947020848715,-0.542068942729648,0.9345766281487508,2.3613458489935273e-08,0.2998
5Y,5Y,0.18940382589360819,-0.5013241740759397,0.6765724155006846,3.3829916277780623e-06,0.266
5Y,10Y,0.17097557681531034,-0.37363918513182226,0.5324416279401654,0.05029255729749946,0.2451
10Y,1Y,0.17643130941510257,-0.5417533768079177,1.002606320052132,9.040180791249791e-10,0.2854
10Y,2Y,0.18978880722822414,-0.5269030949497737,0.9092898580769757,9.920315830882023e-08,0.2928
10Y,3Y,0.19731941194186411,-0.5220660055467359,0.8470456850692193,1.976680953999781e-06,0.294
10Y,5Y,0.18331472942437657,-0.49767523310292977,0.7062217570619582,2.429010397859109e-05,0.26739999999999997
10Y,10Y,0.16344059357629462,-0.41072640649384307,0.6018421102996842,0.0044382027614010625,0.2437
